ho,newx,newy,pixelx,pixely,xoff,yoff,pitch,roll
62.24267362,2025.37726095,1352.36410655,2038.03285082,1333.21559578,89.3772609462,-56.3641065546,62.62,-0.54
63.5759503456,1809.42592829,1153.20243801,1820.21408247,1136.09803581,-126.574071713,142.797561992,62.62,-0.54
62.7278150542,2909.53372993,1279.89484668,2921.46705529,1252.41669943,973.533729928,16.1051533242,62.62,-0.54
62.4426903575,2009.16676562,1322.48608768,2021.54148592,1303.49168193,73.1667656194,-26.4860876756,62.62,-0.54
63.7798256759,1793.71863144,1122.74803182,1804.22046146,1105.79301778,-142.281368558,173.251968177,62.62,-0.54
63.1278326379,2876.92275488,1220.14118272,2888.2943719,1192.97303596,940.922754877,75.8588172792,62.62,-0.54
62.8849756262,1973.96309121,1256.41857866,1985.71671263,1237.75888906,37.9630912131,39.5814213442,62.62,-0.54
64.2345700117,1758.3434365,1054.81941734,1768.206635,1038.20081863,-177.656563502,241.180582658,62.62,-0.54
62.6410029063,2917.17838013,1292.8626364,2929.2335827,1265.31186515,981.178380129,3.13736360077,62.62,-0.54
62.3780791543,2014.23376743,1332.13755371,2026.69922427,1313.09496465,78.2337674282,-36.1375537108,62.62,-0.54
63.7243817973,1797.68683068,1131.03010497,1808.26654,1114.03732426,-138.313169324,164.969895032,62.62,-0.54
63.0767465074,2879.23240579,1227.77230594,2890.67584082,1200.58205263,943.232405792,68.2276940578,62.62,-0.54
62.8207550847,1978.99597878,1266.0116886,1990.83978827,1247.3041398,42.995978784,29.9883114038,62.62,-0.54
64.1650854715,1764.4818111,1065.19885073,1774.44255939,1048.52193907,-171.5181889,230.801149274,62.62,-0.54
63.3564973372,2855.88511888,1185.98380025,2866.93574927,1159.01544262,919.88511888,110.016199755,62.62,-0.54
63.1239695949,1955.5523625,1220.71823479,1966.97033876,1202.23364521,19.5523624996,75.2817652146,62.62,-0.54
64.4744936443,1741.78292083,1018.98020251,1751.30908319,1002.5192724,-194.217079169,277.019797489,62.62,-0.54
62.915127237,2893.29964352,1251.91460361,2904.96998621,1224.59069944,957.299643525,44.0853963909,62.62,-0.54
62.6457908853,1993.01295059,1292.14741963,2005.10245736,1273.30660517,57.0129505931,3.85258037284,62.62,-0.54
63.9868321441,1778.06668444,1091.82590379,1788.27777973,1075.01977703,-157.933315559,204.174096212,62.62,-0.54
62.8633793562,2897.96283328,1259.6445775,2909.70582107,1232.27638114,961.962833279,36.3554225029,62.62,-0.54
62.5896859201,1997.64761213,1300.5282443,2009.8158993,1281.64337762,61.6476121325,-4.52824429668,62.62,-0.54
63.9296500559,1782.55248803,1100.3676265,1792.84388675,1083.51884331,-153.447511966,195.6323735,62.62,-0.54
62.5959902322,2921.15849044,1299.58652132,2933.27688643,1271.99794035,985.158490443,-3.58652132477,62.62,-0.54
62.299724677,2020.75107342,1343.84195697,2033.32655058,1324.73742483,84.7510734231,-47.8419569662,62.62,-0.54
63.6341341712,1804.94867555,1144.51107816,1815.65511566,1127.44925845,-131.051324448,151.488921844,62.62,-0.54
62.6488003868,2916.50745357,1291.69786753,2928.55170841,1264.15347126,980.50745357,4.30213246827,62.62,-0.54
62.3558794279,2016.05220663,1335.45369541,2028.54883615,1316.39382094,80.0522066332,-39.4536954126,62.62,-0.54
63.6912584541,1800.38327613,1135.97799027,1811.00949773,1118.95957678,-135.616723868,160.022009734,62.62,-0.54
63.2193286458,2867.32769047,1206.47372926,2878.57092284,1179.39661952,931.327690473,89.5262707397,62.62,-0.54
62.9751970122,1966.90536852,1242.94152514,1978.53228703,1224.34895059,30.9053685177,53.0584748551,62.62,-0.54
64.3229231262,1752.74727998,1041.62144173,1762.48634088,1025.05617093,-183.252720018,254.378558269,62.62,-0.54
63.1918088545,2869.56512025,1210.58456945,2880.84699642,1183.48619017,933.565120247,85.4154305477,62.62,-0.54
62.9453731052,1969.14257062,1247.3965486,1980.81137676,1228.78269136,33.1425706222,48.6034514003,62.62,-0.54
64.2924822219,1754.91816297,1046.16863075,1764.69998306,1029.58269821,-181.081837033,249.831369253,62.62,-0.54
62.7552488402,2907.17552518,1275.79685374,2919.07033317,1248.34111373,971.175525181,20.2031462565,62.62,-0.54
62.4724099619,2006.81819392,1318.04664469,2019.15117838,1299.07457055,70.8181939185,-22.0466446922,62.62,-0.54
63.81013168,1791.43491391,1118.22099386,1801.89417966,1101.2877041,-144.565086092,177.779006138,62.62,-0.54
62.6230408353,2918.81725311,1295.54576734,2930.89767042,1267.97943114,982.817253106,0.454232661753,62.62,-0.54
62.328225844,2018.31881293,1339.58452123,2030.85427332,1320.50310136,82.3188129327,-43.5845212343,62.62,-0.54
